mp3文件名,性别,评分维度,评委1评分,评委2评分,评委3评分,,
71ff71526d15db86eb50fcac245d183b.mp3,女,音准,2,3,2,,
71ff71526d15db86eb50fcac245d183b.mp3,女,节拍节奏,2,3,2,,
71ff71526d15db86eb50fcac245d183b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d183b.mp3,女,咬字吐字,2,3,3,,
71ff71526d15db86eb50fcac245d183b.mp3,女,情绪情感,1,2,3,,
71ff71526d15db86eb50fcac245d188b.mp3,女,音准,0,2,2,,
71ff71526d15db86eb50fcac245d188b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d188b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d188b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d188b.mp3,女,情绪情感,0,2,2,,
71ff71526d15db86eb50fcac245d193b.mp3,男,音准,0,2,2,,
71ff71526d15db86eb50fcac245d193b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d193b.mp3,男,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d193b.mp3,男,咬字吐字,2,2,2,,
71ff71526d15db86eb50fcac245d193b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d198b.mp3,女,音准,2,2,2,,
71ff71526d15db86eb50fcac245d198b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d198b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d198b.mp3,女,咬字吐字,2,3,2,,
71ff71526d15db86eb50fcac245d198b.mp3,女,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d203b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d203b.mp3,男,节拍节奏,1,3,3,,
71ff71526d15db86eb50fcac245d203b.mp3,男,流畅性,1,3,3,,
71ff71526d15db86eb50fcac245d203b.mp3,男,咬字吐字,1,3,3,,
71ff71526d15db86eb50fcac245d203b.mp3,男,情绪情感,0,2,3,,
71ff71526d15db86eb50fcac245d208b.mp3,男,音准,1,2,2,,
71ff71526d15db86eb50fcac245d208b.mp3,男,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d208b.mp3,男,流畅性,2,2,3,,
71ff71526d15db86eb50fcac245d208b.mp3,男,咬字吐字,2,1,2,,
71ff71526d15db86eb50fcac245d208b.mp3,男,情绪情感,1,2,2,,
71ff71526d15db86eb50fcac245d210b.mp3,女,音准,2,3,2,,
71ff71526d15db86eb50fcac245d210b.mp3,女,节拍节奏,2,3,2,,
71ff71526d15db86eb50fcac245d210b.mp3,女,流畅性,2,3,2,,
71ff71526d15db86eb50fcac245d210b.mp3,女,咬字吐字,2,3,3,,
71ff71526d15db86eb50fcac245d210b.mp3,女,情绪情感,1,2,3,,
71ff71526d15db86eb50fcac245d215b.mp3,女,音准,0,2,2,,
71ff71526d15db86eb50fcac245d215b.mp3,女,节拍节奏,2,2,2,,
71ff71526d15db86eb50fcac245d215b.mp3,女,流畅性,1,2,2,,
71ff71526d15db86eb50fcac245d215b.mp3,女,咬字吐字,2,3,2,,
